,rho,mae,rmse,type,embedding,id
,0.722473054,0.372202677,0.538055581,ir_yr,t2m,1
,0.749757778,0.49088657,0.655564904,ir_yr,t2m,1
,0.473331594,0.598740894,0.904597295,ir_yr,tp,2
,0.50107391,0.513091887,0.881648797,ir_yr,tp,2
,0.754476803,0.418206059,0.665352878,ir_yr,tp,2
,0.544983794,0.616697434,0.843136387,ir_yr,tp,2
,0.673220629,0.562433331,0.746065015,ir_yr,tp,2
,0.641277714,0.577997312,0.767673911,ir_yr,tp,2
,0.677642621,0.512949829,0.746425599,ir_yr,tp,2
,0.801127017,0.408291037,0.60646218,ir_yr,tp,2
,0.807167013,0.310561655,0.602125831,ir_yr,tp,2
,0.511060756,0.630649176,0.870050542,ir_yr,tp,2
,0.536373364,0.477380438,0.855294112,ir_yr,tp,2
,0.515642036,0.497765241,0.868086862,ir_yr,tp,2
,0.34778754,0.537179643,0.945426964,ir_yr,tp,2
,0.833233484,0.292451389,0.56134521,ir_yr,tp,2
,0.425821089,0.717173935,0.859068268,ir_yr,tp,2
,0.582422739,0.532335667,0.817559885,ir_yr,tp,2
,0.582912525,0.509779022,0.816707468,ir_yr,tp,2
,0.607536689,0.5602244,0.803893921,ir_yr,tp,2
,0.646086329,0.346259505,0.769102185,ir_yr,tp,2
,0.764468427,0.472872804,0.652169842,ir_yr,tp,2
,0.373900979,0.622139869,0.946197026,ir_yr,tp,2
,0.729301259,0.512575063,0.681021561,ir_yr,tp,2
,0.722473054,0.372202677,0.538055581,ir_yr,tp,2
,0.749757778,0.49088657,0.655564904,ir_yr,tp,2
,0.505268692,0.53991632,0.874106919,ir_yr,rh,3
,0.115226597,0.557551284,1.017065972,ir_yr,rh,3
,0.617316011,0.476252552,0.790817803,ir_yr,rh,3
,0.628898821,0.500407673,0.782302422,ir_yr,rh,3
,0.368551135,0.707020825,0.937899231,ir_yr,rh,3
,0.496136865,0.751819187,0.860747166,ir_yr,rh,3
,0.481568411,0.646687996,0.890108901,ir_yr,rh,3
,0.592178749,0.498516759,0.812497701,ir_yr,rh,3
,0.820888137,0.312015573,0.58084001,ir_yr,rh,3
,0.416750537,0.602548164,0.917958862,ir_yr,rh,3
,0.357110994,0.454772948,0.942976508,ir_yr,rh,3
,0.533068533,0.494275713,0.85551937,ir_yr,rh,3
,0.067544331,0.70496462,1.354226484,ir_yr,rh,3
,0.519941976,0.441674768,0.858002588,ir_yr,rh,3
,0.431532625,0.714242065,0.856394642,ir_yr,rh,3
,0.607061488,0.464449417,0.800816816,ir_yr,rh,3
