country,id,cols,rho,mae,rmse
Philippines,8,tp+rh,0.308531453,-0.197917676,-0.164191439
Singapore,8,tp+rh,0.194683776,-0.20607558,-0.283572937
Sri Lanka,8,tp+rh,-0.065154997,0.001485748,0.002275317
Thailand,8,tp+rh,0.369859767,-0.35990915,-0.399119208
Venezuela,8,tp+rh,0.24547567,-0.115391658,-0.136910841
Vietnam,8,tp+rh,0.093379065,-0.0973529,-0.078401622
Belize,9,tp+svpd,0.239659279,-0.176759378,-0.372888029
Bolivia,9,tp+svpd,0.401730029,-0.27399703,-0.345959942
Brazil,9,tp+svpd,0.377572309,-0.249077254,-0.394884236
Cambodia,9,tp+svpd,0.743373943,-0.439664837,-0.627120862
Colombia,9,tp+svpd,0.083438561,-0.091355093,-0.128794888
Costa Rica,9,tp+svpd,0.364631909,-0.252080763,-0.353029403
Dominican Republic,9,tp+svpd,0.360010336,-0.222018137,-0.444382437
Ecuador,9,tp+svpd,0.279157099,-0.205394186,-0.316474828
El Salvador,9,tp+svpd,0.261535431,-0.080649946,-0.26877789
Guatemala,9,tp+svpd,0.226851986,-0.060150369,-0.160124626
Honduras,9,tp+svpd,0.273045039,-0.127002412,-0.260235477
Jamaica,9,tp+svpd,-0.213961189,-0.047031721,-0.077434895
Laos,9,tp+svpd,0.258127706,-0.14838555,-0.253113355
Malaysia,9,tp+svpd,0.019987921,-0.048394097,-0.112057115
Mexico,9,tp+svpd,0.430661877,-0.309431861,-0.360981902
Nicaragua,9,tp+svpd,0.167715907,-0.27449489,-0.416004035
Panama,9,tp+svpd,0.595597176,-0.382057758,-0.513278544
Peru,9,tp+svpd,0.472523942,-0.376764889,-0.492024208
Philippines,9,tp+svpd,0.53129346,-0.318022413,-0.326124265
Singapore,9,tp+svpd,0.166403877,-0.182765796,-0.260974327
Sri Lanka,9,tp+svpd,-0.018651037,-0.020649631,0.004636841
Thailand,9,tp+svpd,0.478394553,-0.455674014,-0.544798711
Venezuela,9,tp+svpd,0.216237957,-0.131073394,-0.120107403
Vietnam,9,tp+svpd,0.156807764,-0.10570584,-0.147480482
Belize,10,t2m+tp+rh,0.089085113,-0.129049062,-0.33909501
Bolivia,10,t2m+tp+rh,0.488463738,-0.298356407,-0.40096541
Brazil,10,t2m+tp+rh,0.420921381,-0.254594238,-0.445944639
Cambodia,10,t2m+tp+rh,0.832523365,-0.504371242,-0.719693022
Colombia,10,t2m+tp+rh,0.082931334,-0.103607531,-0.125541913
Costa Rica,10,t2m+tp+rh,0.360950327,-0.205144046,-0.352224734
Dominican Republic,10,t2m+tp+rh,0.342730505,-0.175038083,-0.419333621
Ecuador,10,t2m+tp+rh,0.424013092,-0.298852126,-0.419766239
El Salvador,10,t2m+tp+rh,0.176678917,-0.052430317,-0.191528428
Guatemala,10,t2m+tp+rh,0.198480136,-0.078137311,-0.149079087
Honduras,10,t2m+tp+rh,0.407149419,-0.116035709,-0.322471696
Jamaica,10,t2m+tp+rh,-0.319107922,0.031951587,-0.040409555
Laos,10,t2m+tp+rh,0.186546064,-0.138042027,-0.185193479
Malaysia,10,t2m+tp+rh,0.006840103,-0.078804963,-0.122925871
Mexico,10,t2m+tp+rh,0.489402624,-0.362936831,-0.430358972
Nicaragua,10,t2m+tp+rh,0.35922733,-0.352683598,-0.510244461
Panama,10,t2m+tp+rh,0.627775114,-0.404370214,-0.536734884
Peru,10,t2m+tp+rh,0.497349243,-0.357349794,-0.533613338
Philippines,10,t2m+tp+rh,0.57708812,-0.365386924,-0.371507032
Singapore,10,t2m+tp+rh,0.198094352,-0.205667679,-0.289138344
Sri Lanka,10,t2m+tp+rh,-0.13848173,0.004745088,0.054300144
Thailand,10,t2m+tp+rh,0.453773668,-0.412104762,-0.50281976
Venezuela,10,t2m+tp+rh,0.377831151,-0.189488262,-0.213361018
Vietnam,10,t2m+tp+rh,0.09263232,-0.098193559,-0.110881697
Belize,11,t2m+tp+svpd,0.299286015,-0.188388494,-0.43426628
Bolivia,11,t2m+tp+svpd,0.439615045,-0.257385693,-0.370299128
Brazil,11,t2m+tp+svpd,0.347658312,-0.227491688,-0.364665296
Cambodia,11,t2m+tp+svpd,0.835797454,-0.499033049,-0.725600778
Colombia,11,t2m+tp+svpd,0.070921059,-0.088397122,-0.112208428
Costa Rica,11,t2m+tp+svpd,0.343438946,-0.239072809,-0.337049472
Dominican Republic,11,t2m+tp+svpd,0.330408733,-0.171371346,-0.408500304
Ecuador,11,t2m+tp+svpd,0.410336218,-0.285685763,-0.412726606
El Salvador,11,t2m+tp+svpd,0.190405731,-0.05462489,-0.204762585
Guatemala,11,t2m+tp+svpd,0.215401595,-0.061408944,-0.164373336
Honduras,11,t2m+tp+svpd,0.278993002,-0.111210475,-0.265127195
Jamaica,11,t2m+tp+svpd,-0.189945518,-0.038393402,-0.112843872
Laos,11,t2m+tp+svpd,0.192774234,-0.122248739,-0.210903436
Malaysia,11,t2m+tp+svpd,0.110407711,-0.109341498,-0.183968358
Mexico,11,t2m+tp+svpd,0.451047086,-0.32782118,-0.384988864
Nicaragua,11,t2m+tp+svpd,0.270013716,-0.325681899,-0.459700598
Panama,11,t2m+tp+svpd,0.624462877,-0.407356866,-0.534449349
Peru,11,t2m+tp+svpd,0.456721732,-0.362110197,-0.481369801
Philippines,11,t2m+tp+svpd,0.614632797,-0.377302836,-0.404758833
Singapore,11,t2m+tp+svpd,0.201480194,-0.213541284,-0.294753542
Sri Lanka,11,t2m+tp+svpd,-0.027500403,-0.042277881,-0.014877179
Thailand,11,t2m+tp+svpd,0.486987878,-0.460066008,-0.558564585
Venezuela,11,t2m+tp+svpd,0.197010056,-0.142549932,-0.109228716
Vietnam,11,t2m+tp+svpd,0.132946138,-0.102169973,-0.13535075
