"","country","time","Observations","pred.plus","Pred_Variance.x","Const_Predictions.x","pred.minus","Pred_Variance.y","Const_Predictions.y","delta","Driver","delta_trans"
"4192","Singapore",52,-0.855890669670379,-0.849832610094866,0.134063915856496,-0.927564499668127,-0.866373225963098,0.139067688511538,-0.927564499668127,0.0394452398316859,"Relative humidity",0.0837868204849485
"4193","Singapore",53,-0.760328556525906,-0.758374916116339,0.182413933390778,-0.959418537382951,-0.775770762495996,0.188736963292754,-0.959418537382951,0.0414847511112708,"Relative humidity",0.0881190077447743
"4194","Singapore",54,-0.757140458587151,-0.739836199879433,0.239565241821746,-0.855890669670379,-0.772234455705738,0.242359098094658,-0.855890669670379,0.0772617526081007,"Relative humidity",0.164114012837801
"4195","Singapore",55,-0.779439183043286,-0.75407017042695,0.830470791791592,-0.760328556525906,-0.804866535474561,0.867122968643893,-0.760328556525906,0.121136650403036,"Relative humidity",0.257310003051726
"4196","Singapore",56,-0.787404937611385,-0.748796689952981,0.519267636034408,-0.757140458587151,-0.816644463859224,0.536712654633191,-0.757140458587151,0.161800004008186,"Relative humidity",0.343684255645161
"4197","Singapore",57,-0.814481318696864,-0.782195726256447,0.277438976700441,-0.779439183043286,-0.851234477043256,0.292243691452598,-0.779439183043286,0.164640186566208,"Relative humidity",0.349717172852633
"4198","Singapore",58,-0.672732197949532,-0.675716634628639,0.104070459700151,-0.787404937611385,-0.666287169462877,0.10341410651718,-0.787404937611385,-0.0224869205542929,"Relative humidity",-0.047765144381968
"4199","Singapore",59,-0.612212220458638,-0.625866474335325,0.116758947170726,-0.814481318696864,-0.636003776269913,0.114622090231422,-0.814481318696864,0.0241749345515011,"Relative humidity",0.0513507056908525
"4200","Singapore",60,-0.618579435778574,-0.627576154805515,0.258487452465955,-0.672732197949532,-0.60643470606817,0.247700124750779,-0.672732197949532,-0.0504170777241446,"Relative humidity",-0.107092431397902
"4201","Singapore",61,0.0458111941003151,0.0235943994356561,0.380408222247849,-0.612212220458638,0.053612290549674,0.395713823332705,-0.612212220458638,-0.0715851769768746,"Relative humidity",-0.152056227781549
