date,Year,Month,Cases,Hemisphere,model,country,facet
2018/9/1,2018,9,0.105874847,N,obs,Cambodia,N-obs
2018/10/1,2018,10,-0.034909871,N,obs,Cambodia,N-obs
2018/11/1,2018,11,-0.570800088,N,obs,Cambodia,N-obs
2018/12/1,2018,12,-0.426382216,N,obs,Cambodia,N-obs
2019/1/1,2019,1,0.837047091,N,obs,Cambodia,N-obs
2019/2/1,2019,2,0.656297679,N,obs,Cambodia,N-obs
2019/3/1,2019,3,1.039595427,N,obs,Cambodia,N-obs
2019/4/1,2019,4,2.030538184,N,obs,Cambodia,N-obs
2019/5/1,2019,5,-0.182052609,N,obs,Cambodia,N-obs
2019/6/1,2019,6,1.332972614,N,obs,Cambodia,N-obs
2019/7/1,2019,7,3.128658983,N,obs,Cambodia,N-obs
2019/8/1,2019,8,1.891570043,N,obs,Cambodia,N-obs
2019/9/1,2019,9,3.238561892,N,obs,Cambodia,N-obs
2019/10/1,2019,10,0.707161835,N,obs,Cambodia,N-obs
2019/11/1,2019,11,0.3465713,N,obs,Cambodia,N-obs
2019/12/1,2019,12,0.114957732,N,obs,Cambodia,N-obs
2014/4/1,2014,4,0.33165033,N,obs,Colombia,N-obs
2014/5/1,2014,5,0.359340836,N,obs,Colombia,N-obs
2014/6/1,2014,6,0.406222781,N,obs,Colombia,N-obs
2014/7/1,2014,7,0.689707763,N,obs,Colombia,N-obs
2014/8/1,2014,8,0.245014687,N,obs,Colombia,N-obs
2014/9/1,2014,9,0.585525661,N,obs,Colombia,N-obs
2014/10/1,2014,10,0.870107296,N,obs,Colombia,N-obs
2014/11/1,2014,11,0.535627918,N,obs,Colombia,N-obs
2014/12/1,2014,12,1.028573756,N,obs,Colombia,N-obs
2015/1/1,2015,1,0.968531966,N,obs,Colombia,N-obs
2015/2/1,2015,2,0.359066672,N,obs,Colombia,N-obs
2015/3/1,2015,3,0.415818501,N,obs,Colombia,N-obs
2015/4/1,2015,4,0.339875232,N,obs,Colombia,N-obs
2015/5/1,2015,5,0.257077878,N,obs,Colombia,N-obs
2015/6/1,2015,6,-0.073563212,N,obs,Colombia,N-obs
2015/7/1,2015,7,-0.15498975,N,obs,Colombia,N-obs
2015/8/1,2015,8,-0.176100333,N,obs,Colombia,N-obs
2015/9/1,2015,9,0.123011963,N,obs,Colombia,N-obs
2015/10/1,2015,10,0.469006206,N,obs,Colombia,N-obs
