old_time,date,country,cases,month,time,time_yr,time_14
2016.326489,2016/4/30,Colombia,10946,4,1216,850,851
2016.411362,2016/5/31,Colombia,11827,5,1247,881,882
2016.493498,2016/6/30,Colombia,10117,6,1277,911,912
2016.578371,2016/7/31,Colombia,8047,7,1308,942,943
2016.663244,2016/8/31,Colombia,6600,8,1339,973,974
2016.74538,2016/9/30,Colombia,5055,9,1369,1003,1004
2016.830253,2016/10/31,Colombia,4334,10,1400,1034,1035
2016.912389,2016/11/30,Colombia,4026,11,1430,1064,1065
2016.997262,2016/12/31,Colombia,3756,12,1461,1095,1096
2017.082136,2017/1/31,Colombia,3390,1,1492,1126,1127
2017.158795,2017/2/28,Colombia,2222,2,1520,1154,1155
2017.243669,2017/3/31,Colombia,1971,3,1551,1185,1186
2017.325804,2017/4/30,Colombia,1956,4,1581,1215,1216
2017.410678,2017/5/31,Colombia,2228,5,1612,1246,1247
2017.492813,2017/6/30,Colombia,2000,6,1642,1276,1277
2017.577687,2017/7/31,Colombia,2357,7,1673,1307,1308
2017.66256,2017/8/31,Colombia,2024,8,1704,1338,1339
2017.744695,2017/9/30,Colombia,1834,9,1734,1368,1369
2017.829569,2017/10/31,Colombia,1790,10,1765,1399,1400
2017.911704,2017/11/30,Colombia,1796,11,1795,1429,1430
2017.996578,2017/12/31,Colombia,1904,12,1826,1460,1461
2018.081451,2018/1/31,Colombia,2310,1,1857,1491,1492
2018.158111,2018/2/28,Colombia,1894,2,1885,1519,1520
2018.242984,2018/3/31,Colombia,1759,3,1916,1550,1551
2018.32512,2018/4/30,Colombia,2044,4,1946,1580,1581
2018.409993,2018/5/31,Colombia,3199,5,1977,1611,1612
2018.492129,2018/6/30,Colombia,3859,6,2007,1641,1642
2018.577002,2018/7/31,Colombia,4029,7,2038,1672,1673
2018.661875,2018/8/31,Colombia,3277,8,2069,1703,1704
2018.744011,2018/9/30,Colombia,4887,9,2099,1733,1734
2018.828884,2018/10/31,Colombia,5333,10,2130,1764,1765
2018.91102,2018/11/30,Colombia,6401,11,2160,1794,1795
2018.995893,2018/12/31,Colombia,6475,12,2191,1825,1826
2019.080767,2019/1/31,Colombia,8065,1,2222,1856,1857
2019.157426,2019/2/28,Colombia,3277,2,2250,1884,1885
2019.2423,2019/3/31,Colombia,8506,3,2281,1915,1916
2019.324435,2019/4/30,Colombia,7507,4,2311,1945,1946
2019.409309,2019/5/31,Colombia,12538,5,2342,1976,1977
2019.491444,2019/6/30,Colombia,13806,6,2372,2006,2007
2019.576318,2019/7/31,Colombia,14943,7,2403,2037,2038
2019.661191,2019/8/31,Colombia,10256,8,2434,2068,2069
2019.743326,2019/9/30,Colombia,10543,9,2464,2098,2099
