"","country","climate_var","method","LibSize","q025","q500","q975"
"1136","Thailand","tp","ebisuzaki",40,0.0987643384898555,0.424125821326616,0.656157438061526
"1137","Thailand","tp","ebisuzaki",45,0.0866683417175837,0.433638195837586,0.663699665854943
"1138","Thailand","tp","ebisuzaki",50,0.0809109539070645,0.43864013309658,0.674408500233193
"1139","Thailand","tp","ebisuzaki",55,0.0684993100683169,0.443778105147357,0.679980998954795
"1140","Thailand","tp","ebisuzaki",60,0.0607053185429871,0.451476129395128,0.686451058796579
"1141","Thailand","tp","seasonal",5,0,0,0
"1142","Thailand","tp","seasonal",10,0.312908579256427,0.417877197618309,0.520249873600614
"1143","Thailand","tp","seasonal",15,0.344596397647321,0.453003389718841,0.554833674240924
"1144","Thailand","tp","seasonal",20,0.365150915139057,0.472835282519434,0.572156004867802
"1145","Thailand","tp","seasonal",25,0.357676852153761,0.476857031888542,0.57624549988043
"1146","Thailand","tp","seasonal",30,0.375525319694074,0.489020907014111,0.580776780499116
"1147","Thailand","tp","seasonal",35,0.371231868759039,0.491506799400394,0.583554666350401
"1148","Thailand","tp","seasonal",40,0.372782688631319,0.49339703485547,0.587070899181229
"1149","Thailand","tp","seasonal",45,0.379383021007824,0.496911413221296,0.586141202531389
"1150","Thailand","tp","seasonal",50,0.36887835802109,0.492989001419825,0.584255661948397
"1151","Thailand","tp","seasonal",55,0.361110244379804,0.489428846726417,0.58160006263039
"1152","Thailand","tp","seasonal",60,0.358439085221062,0.487188522334157,0.58290900012963
"1153","Thailand","rh","observed",5,0.188927944406164,0.188927944406164,0.188927944406164
"1154","Thailand","rh","observed",10,0.344879941557651,0.344879941557651,0.344879941557651
"1155","Thailand","rh","observed",15,0.366734235389161,0.366734235389161,0.366734235389161
"1156","Thailand","rh","observed",20,0.400841558252715,0.400841558252715,0.400841558252715
"1157","Thailand","rh","observed",25,0.401927145325711,0.401927145325711,0.401927145325711
"1158","Thailand","rh","observed",30,0.423294825382746,0.423294825382746,0.423294825382746
"1159","Thailand","rh","observed",35,0.425243313604778,0.425243313604778,0.425243313604778
"1160","Thailand","rh","observed",40,0.430764459785395,0.430764459785395,0.430764459785395
"1161","Thailand","rh","observed",45,0.433131805207876,0.433131805207876,0.433131805207876
"1162","Thailand","rh","observed",50,0.425431296855289,0.425431296855289,0.425431296855289
"1163","Thailand","rh","observed",55,0.425845833240338,0.425845833240338,0.425845833240338
"1164","Thailand","rh","observed",60,0.426683025671015,0.426683025671015,0.426683025671015
"1165","Thailand","rh","ebisuzaki",5,-0.0191863895203043,0.138300849841334,0.31739209716462
"1166","Thailand","rh","ebisuzaki",10,0.0335697230725961,0.208064168764258,0.446272257554201
"1167","Thailand","rh","ebisuzaki",15,0.0148719221969049,0.249203475717526,0.508181300753959
"1168","Thailand","rh","ebisuzaki",20,-0.0100499494376759,0.281538116657295,0.543461379883242
"1169","Thailand","rh","ebisuzaki",25,-0.00679884336286413,0.297329860452602,0.576728305726366
"1170","Thailand","rh","ebisuzaki",30,-0.0258257660925421,0.315423544061312,0.592842924741048
"1171","Thailand","rh","ebisuzaki",35,-0.0354689383935494,0.317281864588361,0.6037269349377
"1172","Thailand","rh","ebisuzaki",40,-0.0586717447991369,0.32288643641112,0.617526284956051
"1173","Thailand","rh","ebisuzaki",45,-0.0713835729507181,0.324661488598051,0.626468692779038
"1174","Thailand","rh","ebisuzaki",50,-0.0804776784735368,0.328919989387742,0.634259376014028
"1175","Thailand","rh","ebisuzaki",55,-0.104781443238309,0.329705076445614,0.646218213397647
"1176","Thailand","rh","ebisuzaki",60,-0.119993371590351,0.32516656460116,0.653955444219801
"1177","Thailand","rh","seasonal",5,0.156782936292346,0.251672409097982,0.375141041944087
"1178","Thailand","rh","seasonal",10,0.225566009339418,0.328717966976828,0.468941064013537
"1179","Thailand","rh","seasonal",15,0.237973631558185,0.359408008616072,0.486982051057768
"1180","Thailand","rh","seasonal",20,0.253065144678427,0.382045229190679,0.507697180454478
"1181","Thailand","rh","seasonal",25,0.260560576004124,0.395245961368077,0.526127162825829
"1182","Thailand","rh","seasonal",30,0.264424991612683,0.408032880140461,0.53778982408027
"1183","Thailand","rh","seasonal",35,0.265616441420184,0.404553420902206,0.535737035791052
"1184","Thailand","rh","seasonal",40,0.268194854531206,0.405114758061843,0.544306468558698
"1185","Thailand","rh","seasonal",45,0.261915666002888,0.410904190856674,0.548349408413342
"1186","Thailand","rh","seasonal",50,0.254038692298738,0.410568597375927,0.555545634973999
"1187","Thailand","rh","seasonal",55,0.246248247925557,0.410717468633743,0.567206869086415
"1188","Thailand","rh","seasonal",60,0.241461874897273,0.414306383631847,0.579128275746538
"1189","Thailand","svpd","observed",5,0,0,0
"1190","Thailand","svpd","observed",10,0.432451420378095,0.432451420378095,0.432451420378095
"1191","Thailand","svpd","observed",15,0.512009341631171,0.512009341631171,0.512009341631171
"1192","Thailand","svpd","observed",20,0.548252152264972,0.548252152264972,0.548252152264972
"1193","Thailand","svpd","observed",25,0.555361319555414,0.555361319555414,0.555361319555414
"1194","Thailand","svpd","observed",30,0.57714790165703,0.57714790165703,0.57714790165703
"1195","Thailand","svpd","observed",35,0.600703264405175,0.600703264405175,0.600703264405175
"1196","Thailand","svpd","observed",40,0.602190582723496,0.602190582723496,0.602190582723496
"1197","Thailand","svpd","observed",45,0.619204105210407,0.619204105210407,0.619204105210407
"1198","Thailand","svpd","observed",50,0.625693225562726,0.625693225562726,0.625693225562726
"1199","Thailand","svpd","observed",55,0.631450660791739,0.631450660791739,0.631450660791739
"1200","Thailand","svpd","observed",60,0.636900969301865,0.636900969301865,0.636900969301865
"1201","Thailand","svpd","ebisuzaki",5,0,0,0
"1202","Thailand","svpd","ebisuzaki",10,0.0280497016882457,0.228563737581307,0.444620886170898
"1203","Thailand","svpd","ebisuzaki",15,0.0320195929773348,0.270593392091622,0.518442238657638
"1204","Thailand","svpd","ebisuzaki",20,0.0597339192008333,0.303298737430789,0.562458885484864
"1205","Thailand","svpd","ebisuzaki",25,0.0694982163096518,0.325933308486254,0.588332764189178
"1206","Thailand","svpd","ebisuzaki",30,0.0744070004778444,0.337488673629319,0.611778771233708
"1207","Thailand","svpd","ebisuzaki",35,0.076758111584437,0.346424894296655,0.621569314244659
"1208","Thailand","svpd","ebisuzaki",40,0.0776280139716865,0.345159935919849,0.627201268703381
"1209","Thailand","svpd","ebisuzaki",45,0.0865147970806922,0.347247064923332,0.62881025913731
"1210","Thailand","svpd","ebisuzaki",50,0.0923882752088627,0.353654618588525,0.634105637351049
"1211","Thailand","svpd","ebisuzaki",55,0.0857443148516654,0.358319813827018,0.637397687006184
"1212","Thailand","svpd","ebisuzaki",60,0.0895293558503759,0.357113782610898,0.637973847004411
"1213","Thailand","svpd","seasonal",5,0,0,0
"1214","Thailand","svpd","seasonal",10,0.160872578071747,0.300732688556578,0.402873606154431
"1215","Thailand","svpd","seasonal",15,0.205830774551598,0.350610834503534,0.448832517830642
"1216","Thailand","svpd","seasonal",20,0.220353546299094,0.377373660163908,0.473599133472575
"1217","Thailand","svpd","seasonal",25,0.243870609978787,0.39701351128752,0.498910835429458
"1218","Thailand","svpd","seasonal",30,0.253671365000046,0.414886809833778,0.516633244693658
"1219","Thailand","svpd","seasonal",35,0.248292146813283,0.425173008853147,0.526135368055811
"1220","Thailand","svpd","seasonal",40,0.248335751279038,0.4328856203845,0.538706943668415
"1221","Thailand","svpd","seasonal",45,0.241980806222448,0.433537103029115,0.547746115503891
"1222","Thailand","svpd","seasonal",50,0.239226705128215,0.437353641626397,0.554269431959709
"1223","Thailand","svpd","seasonal",55,0.25179866546204,0.439645489626099,0.557160863702277
"1224","Thailand","svpd","seasonal",60,0.249718557735393,0.443379718512715,0.563598599395145
"1225","Thailand","iobw","observed",5,0.152557128514077,0.152557128514077,0.152557128514077
"1226","Thailand","iobw","observed",10,0.143591964004754,0.143591964004754,0.143591964004754
"1227","Thailand","iobw","observed",15,0.156061545031039,0.156061545031039,0.156061545031039
"1228","Thailand","iobw","observed",20,0.166959849929667,0.166959849929667,0.166959849929667
"1229","Thailand","iobw","observed",25,0.171294201898936,0.171294201898936,0.171294201898936
"1230","Thailand","iobw","observed",30,0.186405919763279,0.186405919763279,0.186405919763279
"1231","Thailand","iobw","observed",35,0.173434021089965,0.173434021089965,0.173434021089965
"1232","Thailand","iobw","observed",40,0.15891862846523,0.15891862846523,0.15891862846523
"1233","Thailand","iobw","observed",45,0.157898329412317,0.157898329412317,0.157898329412317
"1234","Thailand","iobw","observed",50,0.148485568323424,0.148485568323424,0.148485568323424
"1235","Thailand","iobw","observed",55,0.155810745256733,0.155810745256733,0.155810745256733
"1236","Thailand","iobw","observed",60,0.143513613836692,0.143513613836692,0.143513613836692
"1237","Thailand","iobw","ebisuzaki",5,-0.107206766488308,-0.0265446924501656,0.209162183539105
"1238","Thailand","iobw","ebisuzaki",10,-0.15451799838652,-0.0269388747233152,0.283870352889655
"1239","Thailand","iobw","ebisuzaki",15,-0.180812337009576,-0.0252892779444722,0.335751881749043
"1240","Thailand","iobw","ebisuzaki",20,-0.213215899582513,-0.0363372936698889,0.357548607874304
"1241","Thailand","iobw","ebisuzaki",25,-0.250212027922099,-0.0449824096924653,0.3720408514038
"1242","Thailand","iobw","ebisuzaki",30,-0.283836979509534,-0.0575530861020335,0.369868292126476
"1243","Thailand","iobw","ebisuzaki",35,-0.311823811168423,-0.056495038634082,0.362106249363808
"1244","Thailand","iobw","ebisuzaki",40,-0.348816151156982,-0.0603287637205223,0.370549455600349
"1245","Thailand","iobw","ebisuzaki",45,-0.374251187526893,-0.070638839029634,0.367501361421274
"1246","Thailand","iobw","ebisuzaki",50,-0.400716333742251,-0.0766317126060349,0.356858546531854
"1247","Thailand","iobw","ebisuzaki",55,-0.431449303035354,-0.0880164152257494,0.36479716088787
"1248","Thailand","iobw","ebisuzaki",60,-0.452771868598058,-0.107287637574915,0.374485952633806
"1249","Thailand","iobw","seasonal",5,-0.0896094686617291,-0.048428478479082,0.0437162250901861
"1250","Thailand","iobw","seasonal",10,-0.115647654203356,-0.0422217097159734,0.0647889771649252
"1251","Thailand","iobw","seasonal",15,-0.130869465456899,-0.0496280914498052,0.105616793692282
"1252","Thailand","iobw","seasonal",20,-0.149396191832453,-0.0532749329106448,0.12025137920316
"1253","Thailand","iobw","seasonal",25,-0.155103257053872,-0.0439151455482115,0.121792287321707
"1254","Thailand","iobw","seasonal",30,-0.180508677530048,-0.0505978033447033,0.135775012915406
"1255","Thailand","iobw","seasonal",35,-0.210147848889981,-0.0471861509060549,0.132602673547265
"1256","Thailand","iobw","seasonal",40,-0.210832747678906,-0.0519988296991234,0.15854921395283
"1257","Thailand","iobw","seasonal",45,-0.219112429103566,-0.0467038207429901,0.172977660066653
"1258","Thailand","iobw","seasonal",50,-0.232358935721469,-0.0420458584270917,0.192473293107698
"1259","Thailand","iobw","seasonal",55,-0.248689440228461,-0.0417719084118072,0.217710330735285
"1260","Thailand","iobw","seasonal",60,-0.262646220653867,-0.0392630371325016,0.234454883074924
"1261","Guatemala","t2m","observed",5,0,0,0
"1262","Guatemala","t2m","observed",10,0.189675790235924,0.189675790235924,0.189675790235924
"1263","Guatemala","t2m","observed",15,0.237309712529197,0.237309712529197,0.237309712529197
"1264","Guatemala","t2m","observed",20,0.218087868691806,0.218087868691806,0.218087868691806
"1265","Guatemala","t2m","observed",25,0.228953776843066,0.228953776843066,0.228953776843066
"1266","Guatemala","t2m","observed",30,0.228501489161317,0.228501489161317,0.228501489161317
"1267","Guatemala","t2m","observed",35,0.206462040528742,0.206462040528742,0.206462040528742
"1268","Guatemala","t2m","observed",40,0.216570872718773,0.216570872718773,0.216570872718773
"1269","Guatemala","t2m","observed",45,0.193970574028654,0.193970574028654,0.193970574028654
"1270","Guatemala","t2m","observed",50,0.200531457830598,0.200531457830598,0.200531457830598
"1271","Guatemala","t2m","observed",55,0.188789009094861,0.188789009094861,0.188789009094861
"1272","Guatemala","t2m","observed",60,0.187606892730209,0.187606892730209,0.187606892730209
"1273","Guatemala","t2m","ebisuzaki",5,0,0,0
"1274","Guatemala","t2m","ebisuzaki",10,-0.0592581967614939,0.104675332657839,0.302939531518598
"1275","Guatemala","t2m","ebisuzaki",15,-0.0630572411689994,0.122449307348659,0.356788542360487
"1276","Guatemala","t2m","ebisuzaki",20,-0.0882944572961142,0.144138995476367,0.420192313026785
"1277","Guatemala","t2m","ebisuzaki",25,-0.0825182607945208,0.159281576852792,0.418384684915453
"1278","Guatemala","t2m","ebisuzaki",30,-0.107340834230444,0.179748889192111,0.445375500014297
"1279","Guatemala","t2m","ebisuzaki",35,-0.0949237597016364,0.187069885247772,0.457562008728603
"1280","Guatemala","t2m","ebisuzaki",40,-0.106360006950448,0.20275138296722,0.480092508779309
"1281","Guatemala","t2m","ebisuzaki",45,-0.0919004619458634,0.217229099470212,0.492960297448601
"1282","Guatemala","t2m","ebisuzaki",50,-0.0783824860437451,0.232091777670957,0.511795488175565
"1283","Guatemala","t2m","ebisuzaki",55,-0.079671027626294,0.22534205843642,0.520938911060843
"1284","Guatemala","t2m","ebisuzaki",60,-0.0757200564106875,0.230359948877788,0.526150414327426
"1285","Guatemala","t2m","seasonal",5,0,0,0
"1286","Guatemala","t2m","seasonal",10,0.0526205518198135,0.137646831159523,0.240461841800908
"1287","Guatemala","t2m","seasonal",15,0.036794731499727,0.164051573628182,0.279039962654201
"1288","Guatemala","t2m","seasonal",20,0.0668501846739172,0.188570079076196,0.317559327162449
"1289","Guatemala","t2m","seasonal",25,0.0560196902653058,0.187334553437112,0.310771423729342
"1290","Guatemala","t2m","seasonal",30,0.0343934658230889,0.17006209526298,0.307439461564561
"1291","Guatemala","t2m","seasonal",35,0.0143166901604854,0.161213182487028,0.309396074099938
"1292","Guatemala","t2m","seasonal",40,0.0183154876728372,0.167320467118222,0.314803244534305
"1293","Guatemala","t2m","seasonal",45,-0.0119875674917177,0.151981055590015,0.302286811755325
"1294","Guatemala","t2m","seasonal",50,-0.0249192282056214,0.138224914088763,0.296273680910374
"1295","Guatemala","t2m","seasonal",55,-0.0199496361095592,0.13877411755257,0.294586821359391
"1296","Guatemala","t2m","seasonal",60,-0.0294427316409208,0.128248335510537,0.29241993082788
"1297","Guatemala","tp","observed",5,0.0891936043321889,0.0891936043321889,0.0891936043321889
"1298","Guatemala","tp","observed",10,0.1221227951143,0.1221227951143,0.1221227951143
"1299","Guatemala","tp","observed",15,0.107879714658711,0.107879714658711,0.107879714658711
"1300","Guatemala","tp","observed",20,0.106018438776213,0.106018438776213,0.106018438776213
"1301","Guatemala","tp","observed",25,0.105119707958806,0.105119707958806,0.105119707958806
"1302","Guatemala","tp","observed",30,0.109602678665783,0.109602678665783,0.109602678665783
