Year,Month,IR_detrend,Hemisphere,facet
2018,12,-0.697613274,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,1,0.017469211,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,2,0.032021316,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,3,0.532605257,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,4,0.414846427,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,5,1.093344279,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,6,1.214093477,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,7,1.053331264,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,8,0.58747875,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,9,0.378682164,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,10,0.311276956,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,11,0.607587923,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,12,0.888416365,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,1,0.018786201,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,2,0.107813053,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,3,-0.259977354,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,4,-0.616035172,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,5,-0.805858807,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,6,-0.437002919,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,7,-0.657437211,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,8,-1.025231036,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,9,-1.12379388,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,10,-0.620754202,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,11,-0.260875532,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,12,-0.451524298,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2015,1,-0.134874739,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,2,0.033633008,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,3,0.517133954,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,4,1.465002325,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,5,1.455796772,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,6,1.51194142,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,7,0.512346161,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,8,-0.220802859,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,9,-0.540154228,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,10,-0.546297452,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,11,-1.771417009,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,12,-0.56254333,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,1,0.063356703,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,2,0.993695306,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,3,1.201137889,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,4,1.337066572,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,5,1.007213913,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,6,0.745671291,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,7,-0.4880465,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,8,-1.030529165,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,9,-0.894201144,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,10,-0.490259922,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,11,-0.253618494,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,12,-0.273703765,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2017,1,0.122536174,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,2,0.686377422,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,3,1.535038842,Southern Hemisphere,Southern Hemisphere_Negative IOBW
